tag,patterns,responses
ENABLING-ASSESSMENTS,What are the guidelines regarding the submission of enabling assessments?,"There shall be a minimum of three and a maximum of five enabling assessments per term, and submission may be based on the discretion of the department. When giving enabling assessments, a maximum of two enabling assessments shall be allowed during the week."
ONLINE-ENABLING-ASSESSMENTS,How long are online enabling assessments accessible to students?,"Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments. In case a student failed to comply with an online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher. The student may be allowed to complete the missed enabling assessment for a period of ONE day. The schedule shall be determined by the teacher concerned."
ONLINE-ENABLING-ASSESSMENTS,What is the procedure if a student fails to comply with an online enabling assessment?,"Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments. In case a student failed to comply with an online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher. The student may be allowed to complete the missed enabling assessment for a period of ONE day. The schedule shall be determined by the teacher concerned."
ONLINE-ENABLING-ASSESSMENTS,What steps should be taken if a student fails to adhere to an online enabling assessment?,"Online enabling assessments shall be uploaded on SB and shall be accessible to students for a minimum of one day for quiz type and a minimum of six days for output-based assessments. In case a student failed to comply with an online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher. The student may be allowed to complete the missed enabling assessment for a period of ONE day. The schedule shall be determined by the teacher concerned."
ENABLING-ASSESSMENTS-TIME,Who decides the time allotted for online enabling assessments?,The time allotted to answer online enabling assessments shall be decided by the department concerned.
ENABLING-ASSESSMENTS-TIME,How is the time for online enabling assessments determined?,The time allotted to answer online enabling assessments shall be decided by the department concerned.
ENABLING-ASSESSMENTS-TIME,How is the time allocated for online enabling assessments decided?,The time allotted to answer online enabling assessments shall be decided by the department concerned.
ENABLING-ASSESSMENTS-EXTENSION,What is the procedure if a student fails to comply with an online enabling assessment?,"In case a student failed to comply with the online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher subject to the latter\u2019s discretion."
ENABLING-ASSESSMENTS-EXTENSION,Can a student request an extension for an online enabling assessment?,"In case a student failed to comply with the online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher subject to the latter\u2019s discretion."
ENABLING-ASSESSMENTS-EXTENSION,Is it possible for a student to request an extension for an online enabling assessment?,"In case a student failed to comply with the online enabling assessment, s/he may be allowed to ask for an extension from his/her teacher subject to the latter\u2019s discretion."
FLEX-BLENDED-VIDEO-ASSESSMENTS,What is the maximum number of video assessments allowed for flex blended classes?,"As a general rule for flex blended classes, a maximum of two video assessments per term shall be observed. It can be a combination of enabling and summative assessments."
FLEX-BLENDED-VIDEO-ASSESSMENTS,Can a video assessment be part of enabling assessments in flex blended classes?,"As a general rule for flex blended classes, a maximum of two video assessments per term shall be observed. It can be a combination of enabling and summative assessments."
